review_id,review_text,overall_label,overall_score_raw,overall_numeric,per_category_scores,rating_stars
R001,Battery easily lasts all day even with heavy use — very impressed.,positive,0.9559853672981262,0.9559853672981262,"{""battery"": 0.9559853672981262}",4.91
R002,Camera performs well in daylight but struggles a bit in low light; average overall.,neutral,0.5865300297737122,0.0,"{""camera"": 0.0}",3.0
R003,Performance is snappy and responsive for everyday apps and multitasking.,positive,0.8636884093284607,0.8636884093284607,"{""performance"": 0.8636884093284607}",4.73
R004,Charging is inconsistent — sometimes it stalls at 40% and takes forever to resume.,negative,0.7997515797615051,-0.7997515797615051,{},1.4
R005,"Sleek design and premium feel, though it picks up fingerprints easily.",neutral,0.5097678899765015,0.0,"{""design"": 0.0}",3.0
R006,"Display is bright with accurate colors, but the contrast seems off in some apps.",neutral,0.4656923711299896,0.0,{},3.0
R007,Camera captures great detail and is quick to focus most of the time.,positive,0.9318050742149353,0.9318050742149353,"{""camera"": 0.9318050742149353}",4.86
R008,"Audio is crisp and clear for music and calls, pleasantly surprised.",positive,0.9678843021392822,0.9678843021392822,{},4.94
R009,Touchscreen occasionally misses taps and scrolling can be jittery.,negative,0.748501718044281,-0.748501718044281,"{""screen"": -0.748501718044281}",1.5
R010,"Great for photography, but battery life is average — may need a top-up by evening.",neutral,0.4225112795829773,0.0,"{""battery"": 0.0}",3.0
R011,Screen resolution is fantastic — videos look crisp and vibrant.,positive,0.9863688945770264,0.9863688945770264,"{""screen"": 0.9863688945770264}",4.97
R012,Performance is solid; no lag even with heavy apps and games.,positive,0.8495631814002991,0.8495631814002991,"{""performance"": 0.8495631814002991}",4.7
R013,Fingerprint sensor is hit-or-miss and sometimes refuses to recognize saved prints.,negative,0.8484054207801819,-0.8484054207801819,{},1.3
R014,Battery optimization helps but I still get less than ideal screen-on time with heavy use.,negative,0.5912019610404968,-0.5912019610404968,"{""battery"": -0.5912019610404968, ""screen"": -0.5912019610404968}",1.82
R015,Lightweight and sturdy — comfortable to hold for long periods.,positive,0.7630280256271362,0.7630280256271362,{},4.53
R016,High refresh rate makes scrolling and gaming feel incredibly smooth.,positive,0.9493808746337891,0.9493808746337891,{},4.9
R017,Plenty of storage; haven't run into space issues even with lots of apps.,positive,0.47831466794013977,0.47831466794013977,{},3.96
R018,Phone overheats during long gaming sessions and throttles performance.,negative,0.8057057857513428,-0.8057057857513428,"{""performance"": -0.8057057857513428}",1.39
R019,Face unlock is quick and reliable in most lighting conditions.,positive,0.7933411598205566,0.7933411598205566,{},4.59
R020,Excellent value for money — feels like a much pricier phone.,positive,0.7748332023620605,0.7748332023620605,{},4.55
R021,Camera is good but the processing sometimes oversharpens photos; mixed results.,neutral,0.5186455845832825,0.0,"{""camera"": 0.0}",3.0
R022,Battery drains quickly when using navigation apps — disappointing endurance.,negative,0.9599857330322266,-0.9599857330322266,"{""battery"": -0.9599857330322266}",1.08
R023,Colors on the OLED display are vibrant and lifelike.,positive,0.9495127201080322,0.9495127201080322,{},4.9
R024,Very reliable so far — no crashes or unexpected restarts.,positive,0.8974006772041321,0.8974006772041321,{},4.79
R025,Build feels solid but the edges can be a bit sharp if held tightly.,neutral,0.6752235293388367,0.0,{},3.0
R026,"Speakers are loud and clear, great for conference calls and music.",positive,0.9711412191390991,0.9711412191390991,{},4.94
R027,"Device randomly reboots a couple of times a week, pretty frustrating.",negative,0.9204911589622498,-0.9204911589622498,{},1.16
R028,Battery easily lasts a day and a half with moderate use.,positive,0.6164224147796631,0.6164224147796631,"{""battery"": 0.6164224147796631}",4.23
R029,Display is bright outdoors but viewing angles could be better.,positive,0.544051468372345,0.544051468372345,{},4.09
R030,Selfie camera gives sharp results and skin tones look natural.,positive,0.8881932497024536,0.8881932497024536,"{""camera"": 0.8881932497024536}",4.78
R031,"Operating system is generally smooth, though customization options are limited.",positive,0.6614699363708496,0.6614699363708496,{},4.32
R032,Amazing performance — runs games and heavy apps without hiccups.,positive,0.933976411819458,0.933976411819458,"{""performance"": 0.933976411819458}",4.87
R033,5G connectivity is spotty in my area and often falls back to 4G.,negative,0.5207551121711731,-0.5207551121711731,{},1.96
R034,Slim profile and easy to pocket — very convenient for travel.,positive,0.9518964886665344,0.9518964886665344,{},4.9
R035,Battery saver mode helps but it reduces background app performance noticeably.,positive,0.5917252898216248,0.5917252898216248,"{""battery"": 0.5917252898216248, ""performance"": 0.5917252898216248}",4.18
R036,Screen size strikes a good balance for productivity and media consumption.,positive,0.8973594903945923,0.8973594903945923,"{""screen"": 0.8973594903945923}",4.79
R037,Bluetooth keeps dropping when connected to my car stereo.,negative,0.8835813403129578,-0.8835813403129578,{},1.23
